 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.10000000     0.1000     -0.9890      3.4366      3.1250      0.4086   0.0000
   5.50    0.10397664     0.1040     -0.9650      3.4383      3.1250      0.4086   0.0000
   5.50    0.12078483     0.1210     -0.8690      3.4451      3.1210      0.4086   0.0000
   5.50    0.13651831     0.1360     -0.7940      3.4520      3.1270      0.4086   0.0000
   5.50    0.14000000     0.1400     -0.7790      3.4535      3.1290      0.4086   0.0000
   5.50    0.14448436     0.1440     -0.7540      3.4557      3.1260      0.4086   0.0000
   5.50    0.16506951     0.1650     -0.6630      3.4658      3.1340      0.4086   0.0000
   5.50    0.19033547     0.1900     -0.5470      3.4789      3.1320      0.4086   0.0000
   5.50    0.20000000     0.2000     -0.5100      3.4842      3.1370      0.4086   0.0000
   5.50    0.22350453     0.2230     -0.4020      3.4977      3.1320      0.4086   0.0000
   5.50    0.25000000     0.2500     -0.3090      3.5111      3.1420      0.4086   0.0000
   5.50    0.29865173     0.2990     -0.1270      3.5333      3.1250      0.4086   0.0000
   5.50    0.30000004     0.3000     -0.1220      3.5339      3.1250      0.4086   0.0000
   5.50    0.32568046     0.3260     -0.0420      3.5433      3.1180      0.4086   0.0000
   5.50    0.34999999     0.3500      0.0290      3.5514      3.1110      0.4086   0.0000
   5.50    0.35808066     0.3580      0.0480      3.5538      3.1110      0.4086   0.0000
   5.50    0.40000001     0.4000      0.1540      3.5657      3.1010      0.4086   0.0000
   5.50    0.41923520     0.4190      0.1920      3.5705      3.1020      0.4086   0.0000
   5.50    0.45000002     0.4500      0.2560      3.5777      3.0980      0.4086   0.0000
   5.50    0.45293704     0.4530      0.2600      3.5783      3.0990      0.4086   0.0000
   5.50    0.51913643     0.5190      0.3530      3.5912      3.1170      0.4086   0.0000
   5.50    0.54054254     0.5400      0.3840      3.5950      3.1190      0.4086   0.0000
   5.50    0.55000007     0.5500      0.3990      3.5966      3.1170      0.4086   0.0000
   5.50    0.55559993     0.5550      0.4040      3.5974      3.1200      0.4086   0.0000
   5.50    0.56886727     0.5690      0.4120      3.5992      3.1290      0.4086   0.0000
   5.50    0.58535069     0.5850      0.4290      3.6016      3.1350      0.4086   0.0000
   5.50    0.60000002     0.6000      0.4450      3.6041      3.1390      0.4086   0.0000
   5.50    0.61276156     0.6130      0.4500      3.6056      3.1490      0.4086   0.0000
   5.50    0.63303834     0.6330      0.4690      3.6082      3.1550      0.4086   0.0000
   5.50    0.64999998     0.6500      0.4830      3.6107      3.1620      0.4086   0.0000
   5.50    0.65449923     0.6550      0.4860      3.6112      3.1650      0.4086   0.0000
   5.50    0.67409199     0.6740      0.5010      3.6134      3.1720      0.4086   0.0000
   5.50    0.69510555     0.6950      0.5180      3.6161      3.1780      0.4086   0.0000
   5.50    0.70000005     0.7000      0.5220      3.6167      3.1800      0.4086   0.0000
   5.50    0.71107137     0.7110      0.5300      3.6190      3.1880      0.4074   0.0000
   5.50    0.75000000     0.7500      0.5630      3.6274      3.2120      0.4033   0.0000
   5.50    0.76096481     0.7610      0.5710      3.6284      3.2140      0.4033   0.0000
   5.50    0.79130369     0.7910      0.5920      3.6311      3.2200      0.4033   0.0000
   5.50    0.80000001     0.8000      0.5990      3.6319      3.2210      0.4033   0.0000
   5.50    0.82548845     0.8250      0.6150      3.6339      3.2270      0.4033   0.0000
   5.50    0.85000002     0.8500      0.6320      3.6359      3.2300      0.4033   0.0000
   5.50    0.86484289     0.8640      0.6410      3.6370      3.2330      0.4033   0.0000
   5.50    0.89999998     0.8990      0.6650      3.6395      3.2370      0.4033   0.0000
   5.50    0.91452175     0.9140      0.6740      3.6405      3.2390      0.4033   0.0000
   5.50    0.94999999     0.9500      0.6970      3.6429      3.2420      0.4033   0.0000
   5.50    0.97547317     0.9750      0.7110      3.6445      3.2460      0.4033   0.0000
   5.50    1.00000000     1.0000      0.7270      3.6460      3.2470      0.4033   0.0000
   5.50    1.04050457     1.0400      0.7490      3.6483      3.2510      0.4033   0.0000
   5.50    1.04999995     1.0500      0.7540      3.6489      3.2520      0.4033   0.0000
   5.50    1.05163014     1.0510      0.7550      3.6490      3.2530      0.4033   0.0000
   5.50    1.10000002     1.0990      0.7830      3.6515      3.2540      0.4033   0.0000
   5.50    1.13289034     1.1320      0.8010      3.6531      3.2550      0.4033   0.0000
   5.50    1.14999998     1.1490      0.8110      3.6539      3.2550      0.4033   0.0000
   5.50    1.18634939     1.1860      0.8290      3.6557      3.2580      0.4033   0.0000
   5.50    1.20000005     1.2000      0.8350      3.6563      3.2590      0.4033   0.0000
   5.50    1.21109462     1.2110      0.8400      3.6569      3.2610      0.4033   0.0000
   5.50    1.25000000     1.2500      0.8590      3.6585      3.2620      0.4033   0.0000
   5.50    1.28841257     1.2880      0.8780      3.6601      3.2630      0.4033   0.0000
   5.50    1.29999995     1.3000      0.8840      3.6606      3.2630      0.4033   0.0000
   5.50    1.30759275     1.3080      0.8870      3.6609      3.2630      0.4033   0.0000
   5.50    1.35000002     1.3500      0.9060      3.6625      3.2640      0.4033   0.0000
   5.50    1.38213873     1.3820      0.9190      3.6638      3.2660      0.4033   0.0000
   5.50    1.39999998     1.4000      0.9270      3.6644      3.2670      0.4033   0.0000
   5.50    1.45000005     1.4500      0.9490      3.6662      3.2680      0.4033   0.0000
   5.50    1.46378052     1.4640      0.9540      3.6667      3.2680      0.4033   0.0000
   5.50    1.50000000     1.5000      0.9690      3.6679      3.2680      0.4033   0.0000
   5.50    1.54999995     1.5500      0.9890      3.6694      3.2690      0.4033   0.0000
   5.50    1.55847001     1.5580      0.9920      3.6697      3.2690      0.4033   0.0000
   5.50    1.60000002     1.6000      1.0090      3.6709      3.2690      0.4033   0.0000
   5.50    1.64999998     1.6490      1.0280      3.6724      3.2680      0.4033   0.0000
   5.50    1.67499995     1.6740      1.0380      3.6730      3.2680      0.4033   0.0000
   5.50    1.70000005     1.6990      1.0460      3.6737      3.2690      0.4033   0.0000
   5.50    1.72500014     1.7240      1.0540      3.6744      3.2700      0.4033   0.0000
   5.50    1.75000000     1.7490      1.0640      3.6751      3.2700      0.4033   0.0000
   5.50    1.77500010     1.7740      1.0720      3.6757      3.2700      0.4033   0.0000
   5.50    1.79254770     1.7910      1.0770      3.6762      3.2710      0.4033   0.0000
   5.50    1.79999995     1.7990      1.0800      3.6764      3.2710      0.4033   0.0000
   5.50    1.82500005     1.8240      1.0890      3.6770      3.2700      0.4033   0.0000
   5.50    1.85000002     1.8490      1.0980      3.6776      3.2700      0.4033   0.0000
   5.50    1.87500000     1.8740      1.1050      3.6782      3.2700      0.4033   0.0000
   5.50    1.89999998     1.8990      1.1130      3.6788      3.2710      0.4033   0.0000
   5.50    1.90451276     1.9040      1.1140      3.6789      3.2710      0.4033   0.0000
   5.50    1.92499995     1.9240      1.1230      3.6793      3.2690      0.4033   0.0000
   5.50    1.95000005     1.9500      1.1320      3.6798      3.2670      0.4033   0.0000
   5.50    2.00000000     2.0000      1.1460      3.6809      3.2690      0.4033   0.0000
   5.50    2.01781917     2.0180      1.1510      3.6813      3.2690      0.4033   0.0000
   5.50    2.04999995     2.0500      1.1620      3.6819      3.2670      0.4033   0.0000
   5.50    2.09999990     2.0990      1.1770      3.6829      3.2670      0.4033   0.0000
