 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -1.0050      3.4839      3.2850      0.4088   0.0000
   5.50    0.09928595     0.0990     -0.9400      3.4885      3.2800      0.4088   0.0000
   5.50    0.10246552     0.1020     -0.9160      3.4900      3.2770      0.4088   0.0000
   5.50    0.11785786     0.1180     -0.8150      3.4968      3.2630      0.4088   0.0000
   5.50    0.12923400     0.1290     -0.7370      3.5021      3.2460      0.4088   0.0000
   5.50    0.13642977     0.1360     -0.6990      3.5049      3.2430      0.4088   0.0000
   5.50    0.14879861     0.1480     -0.6270      3.5103      3.2300      0.4088   0.0000
   5.50    0.15500167     0.1550     -0.5880      3.5129      3.2200      0.4088   0.0000
   5.50    0.18732889     0.1870     -0.4470      3.5257      3.2100      0.4088   0.0000
   5.50    0.19214547     0.1910     -0.4290      3.5273      3.2100      0.4088   0.0000
   5.50    0.21515597     0.2140     -0.3260      3.5371      3.1950      0.4088   0.0000
   5.50    0.23857525     0.2380     -0.2360      3.5460      3.1850      0.4088   0.0000
   5.50    0.28500497     0.2840     -0.0650      3.5642      3.1650      0.4088   0.0000
   5.50    0.32824001     0.3270      0.0730      3.5795      3.1500      0.4088   0.0000
   5.50    0.33143479     0.3310      0.0830      3.5806      3.1490      0.4088   0.0000
   5.50    0.34184539     0.3410      0.1110      3.5840      3.1470      0.4088   0.0000
   5.50    0.37786454     0.3770      0.2100      3.5950      3.1370      0.4088   0.0000
   5.50    0.40025145     0.3990      0.2620      3.6012      3.1340      0.4088   0.0000
   5.50    0.42916816     0.4280      0.3250      3.6086      3.1310      0.4088   0.0000
   5.50    0.45949268     0.4590      0.3780      3.6154      3.1350      0.4088   0.0000
   5.50    0.47072408     0.4700      0.4000      3.6178      3.1340      0.4088   0.0000
   5.50    0.51231235     0.5120      0.4650      3.6255      3.1360      0.4088   0.0000
   5.50    0.51715386     0.5170      0.4720      3.6263      3.1370      0.4088   0.0000
   5.50    0.52311903     0.5220      0.4760      3.6272      3.1410      0.4088   0.0000
   5.50    0.53349733     0.5330      0.4810      3.6286      3.1500      0.4088   0.0000
   5.50    0.54203194     0.5410      0.4900      3.6298      3.1530      0.4088   0.0000
   5.50    0.55265993     0.5520      0.5040      3.6316      3.1550      0.4088   0.0000
   5.50    0.56358355     0.5630      0.5200      3.6338      3.1560      0.4088   0.0000
   5.50    0.57076550     0.5700      0.5230      3.6347      3.1610      0.4088   0.0000
   5.50    0.58681142     0.5860      0.5300      3.6366      3.1740      0.4088   0.0000
   5.50    0.59869248     0.5980      0.5430      3.6383      3.1770      0.4088   0.0000
