 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    1.75000000     1.7490      1.1570      3.7377      3.4270      0.4031   0.0000
   5.50    1.75232089     1.7510      1.1580      3.7377      3.4270      0.4031   0.0000
   5.50    1.79999995     1.7990      1.1750      3.7386      3.4250      0.4031   0.0000
   5.50    1.83585274     1.8350      1.1860      3.7393      3.4240      0.4031   0.0000
   5.50    1.85000002     1.8490      1.1920      3.7395      3.4230      0.4031   0.0000
   5.50    1.89999998     1.8990      1.2110      3.7404      3.4190      0.4031   0.0000
   5.50    1.91048038     1.9100      1.2140      3.7406      3.4190      0.4031   0.0000
   5.50    1.95000005     1.9500      1.2270      3.7413      3.4190      0.4031   0.0000
   5.50    1.98222458     1.9820      1.2380      3.7419      3.4170      0.4031   0.0000
   5.50    2.00000000     2.0000      1.2450      3.7421      3.4140      0.4031   0.0000
   5.50    2.04999995     2.0500      1.2640      3.7429      3.4090      0.4031   0.0000
   5.50    2.08976936     2.0890      1.2770      3.7436      3.4070      0.4031   0.0000
   5.50    2.09999990     2.0990      1.2810      3.7437      3.4060      0.4031   0.0000
   5.50    2.11673045     2.1160      1.2860      3.7440      3.4060      0.4031   0.0000
   5.50    2.15000010     2.1490      1.2990      3.7445      3.4020      0.4031   0.0000
   5.50    2.20000005     2.1990      1.3160      3.7453      3.3980      0.4031   0.0000
   5.50    2.25000000     2.2490      1.3330      3.7461      3.3940      0.4031   0.0000
   5.50    2.29999995     2.2990      1.3490      3.7469      3.3900      0.4031   0.0000
   5.50    2.34999990     2.3490      1.3690      3.7476      3.3820      0.4031   0.0000
   5.50    2.40000010     2.3990      1.3870      3.7485      3.3770      0.4031   0.0000
   5.50    2.48406363     2.4830      1.4080      3.7510      3.3810      0.4032   0.0000
   5.50    2.59999990     2.6000      1.4530      3.7546      3.3710      0.4033   0.0000
   5.50    2.61749220     2.6170      1.4600      3.7549      3.3670      0.4033   0.0000
   5.50    2.64769387     2.6480      1.4750      3.7555      3.3600      0.4033   0.0000
   5.50    2.78214765     2.7830      1.5640      3.7588      3.3050      0.4033   0.0000
   5.50    2.80000019     2.8000      1.5770      3.7593      3.2980      0.4033   0.0000
   5.50    2.83575201     2.8360      1.6020      3.7603      3.2820      0.4033   0.0000
   5.50    2.94332671     2.9440      1.7000      3.7640      3.2160      0.4033   0.0000
   5.50    3.00000000     3.0000      1.7590      3.7665      3.1740      0.4033   0.0000
   5.50    3.05051136     3.0500      1.8150      3.7691      3.1360      0.4033   0.0000
   5.50    3.12372684     3.1230      1.8880      3.7737      3.0910      0.4033   0.0000
   5.50    3.20000005     3.1990      1.9580      3.7797      3.0560      0.4033   0.0000
   5.50    3.23594499     3.2350      1.9890      3.7831      3.0430      0.4033   0.0000
   5.50    3.31142902     3.3100      2.0520      3.7929      3.0290      0.4033   0.0000
   5.50    3.36446738     3.3630      2.0960      3.8035      3.0350      0.4033   0.0000
   5.50    3.40000010     3.3980      2.1250      3.8124      3.0460      0.4033   0.0000
   5.50    3.40154052     3.4000      2.1260      3.8128      3.0460      0.4033   0.0000
   5.50    3.44755769     3.4460      2.1640      3.8265      3.0690      0.4033   0.0000
   5.50    3.49254465     3.4900      2.2010      3.8405      3.0940      0.4033   0.0000
   5.50    3.53684807     3.5350      2.2370      3.8547      3.1200      0.4033   0.0000
   5.50    3.58065462     3.5780      2.2720      3.8690      3.1480      0.4033   0.0000
   5.50    3.59999990     3.5980      2.2870      3.8753      3.1600      0.4033   0.0000
   5.50    3.61440969     3.6120      2.2990      3.8801      3.1690      0.4033   0.0000
   5.50    3.65440130     3.6520      2.3310      3.8935      3.1960      0.4033   0.0000
   5.50    3.69430637     3.6920      2.3620      3.9070      3.2230      0.4033   0.0000
   5.50    3.73415303     3.7320      2.3930      3.9206      3.2520      0.4033   0.0000
   5.50    3.77401280     3.7720      2.4230      3.9342      3.2810      0.4033   0.0000
   5.50    3.80000019     3.7980      2.4420      3.9431      3.3000      0.4033   0.0000
   5.50    3.82128859     3.8200      2.4580      3.9504      3.3160      0.4033   0.0000
   5.50    3.86031818     3.8590      2.4860      3.9639      3.3460      0.4033   0.0000
   5.50    3.89954400     3.8990      2.5140      3.9775      3.3770      0.4033   0.0000
   5.50    3.93901968     3.9390      2.5410      3.9911      3.4080      0.4033   0.0000
   5.50    3.97879601     3.9790      2.5680      4.0048      3.4410      0.4033   0.0000
   5.50    4.00000000     4.0010      2.5820      4.0120      3.4580      0.4033   0.0000
   5.50    4.02343988     4.0240      2.5970      4.0201      3.4780      0.4033   0.0000
   5.50    4.06527758     4.0650      2.6240      4.0343      3.5130      0.4033   0.0000
   5.50    4.10781240     4.1070      2.6500      4.0486      3.5480      0.4033   0.0000
   5.50    4.15112305     4.1500      2.6750      4.0630      3.5850      0.4033   0.0000
   5.50    4.19528008     4.1930      2.7000      4.0775      3.6220      0.4033   0.0000
   5.50    4.19999981     4.1980      2.7030      4.0790      3.6260      0.4033   0.0000
   5.50    4.22713137     4.2250      2.7180      4.0878      3.6490      0.4033   0.0000
   5.50    4.27255011     4.2700      2.7420      4.1023      3.6870      0.4033   0.0000
   5.50    4.31891394     4.3160      2.7660      4.1168      3.7260      0.4033   0.0000
   5.50    4.36629963     4.3630      2.7890      4.1312      3.7660      0.4033   0.0000
   5.50    4.40000010     4.3970      2.8050      4.1414      3.7930      0.4033   0.0000
   5.50    4.40229273     4.4000      2.8070      4.1421      3.7950      0.4033   0.0000
   5.50    4.45044136     4.4480      2.8290      4.1561      3.8340      0.4033   0.0000
   5.50    4.49989223     4.4970      2.8500      4.1702      3.8740      0.4033   0.0000
   5.50    4.55073547     4.5480      2.8720      4.1844      3.9130      0.4033   0.0000
   5.50    4.59999990     4.5970      2.8920      4.1977      3.9510      0.4033   0.0000
   5.50    4.65614986     4.6540      2.9140      4.2124      3.9930      0.4033   0.0000
   5.50    4.71547127     4.7130      2.9360      4.2274      4.0370      0.4033   0.0000
   5.50    4.77672958     4.7740      2.9580      4.2423      4.0800      0.4033   0.0000
   5.50    4.80000019     4.7980      2.9660      4.2479      4.0960      0.4033   0.0000
   5.50    4.82314777     4.8210      2.9740      4.2533      4.1120      0.4033   0.0000
   5.50    4.89039850     4.8890      2.9960      4.2686      4.1580      0.4033   0.0000
   5.50    4.96172762     4.9600      3.0170      4.2838      4.2040      0.4033   0.0000
   5.50    4.98032522     4.9790      3.0230      4.2877      4.2150      0.4033   0.0000
   5.50    5.00000000     4.9990      3.0280      4.2916      4.2270      0.4033   0.0000
   5.50    5.07040739     5.0700      3.0470      4.3051      4.2680      0.4033   0.0000
