 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -0.8440      3.5694      3.4660      0.4087   0.0000
   5.50    0.10000000     0.1000     -0.7440      3.5746      3.4320      0.4087   0.0000
   5.50    0.10340000     0.1030     -0.7130      3.5762      3.4220      0.4087   0.0000
   5.50    0.12000000     0.1200     -0.5760      3.5837      3.3800      0.4087   0.0000
   5.50    0.14000000     0.1400     -0.4480      3.5918      3.3510      0.4087   0.0000
   5.50    0.16000000     0.1600     -0.3420      3.5994      3.3340      0.4087   0.0000
   5.50    0.16436991     0.1640     -0.3180      3.6013      3.3290      0.4087   0.0000
   5.50    0.20532402     0.2050     -0.1210      3.6174      3.2930      0.4087   0.0000
   5.50    0.21258368     0.2130     -0.0900      3.6207      3.2900      0.4087   0.0000
   5.50    0.22482882     0.2250     -0.0360      3.6263      3.2830      0.4087   0.0000
   5.50    0.25691113     0.2570      0.0900      3.6396      3.2690      0.4087   0.0000
   5.50    0.26559892     0.2660      0.1150      3.6427      3.2700      0.4087   0.0000
   5.50    0.27405012     0.2740      0.1440      3.6458      3.2670      0.4087   0.0000
   5.50    0.28121457     0.2810      0.1700      3.6484      3.2630      0.4087   0.0000
   5.50    0.29017112     0.2900      0.2030      3.6516      3.2560      0.4087   0.0000
   5.50    0.31270871     0.3130      0.2480      3.6578      3.2680      0.4087   0.0000
   5.50    0.32528090     0.3250      0.2760      3.6611      3.2700      0.4087   0.0000
   5.50    0.33752474     0.3380      0.3120      3.6644      3.2640      0.4087   0.0000
   5.50    0.34948435     0.3500      0.3490      3.6675      3.2550      0.4087   0.0000
   5.50    0.35687423     0.3570      0.3520      3.6689      3.2660      0.4087   0.0000
   5.50    0.37677839     0.3770      0.3680      3.6726      3.2880      0.4087   0.0000
   5.50    0.39661002     0.3970      0.4060      3.6764      3.2880      0.4087   0.0000
   5.50    0.40000001     0.4000      0.4140      3.6770      3.2860      0.4087   0.0000
   5.50    0.41774198     0.4180      0.4240      3.6796      3.3050      0.4087   0.0000
   5.50    0.45458663     0.4540      0.4540      3.6848      3.3330      0.4087   0.0000
   5.50    0.49606687     0.4960      0.4840      3.6898      3.3610      0.4087   0.0000
   5.50    0.50000000     0.5000      0.4860      3.6902      3.3640      0.4087   0.0000
   5.50    0.52670234     0.5270      0.5070      3.6932      3.3770      0.4087   0.0000
   5.50    0.55000007     0.5500      0.5240      3.6955      3.3880      0.4087   0.0000
   5.50    0.57100004     0.5710      0.5420      3.6976      3.3940      0.4087   0.0000
   5.50    0.60000002     0.6000      0.5610      3.7003      3.4080      0.4087   0.0000
   5.50    0.61038327     0.6100      0.5710      3.7010      3.4090      0.4087   0.0000
   5.50    0.62493682     0.6250      0.5830      3.7021      3.4120      0.4087   0.0000
   5.50    0.64068782     0.6410      0.5940      3.7036      3.4170      0.4087   0.0000
   5.50    0.64999998     0.6500      0.6010      3.7044      3.4200      0.4087   0.0000
   5.50    0.65735102     0.6570      0.6060      3.7049      3.4210      0.4087   0.0000
   5.50    0.67557657     0.6760      0.6210      3.7062      3.4240      0.4087   0.0000
   5.50    0.69531012     0.6950      0.6350      3.7077      3.4280      0.4087   0.0000
