 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -0.9000      3.5457      3.4270      0.4088   0.0000
   5.50    0.10000000     0.1000     -0.7650      3.5518      3.3620      0.4088   0.0000
   5.50    0.11999999     0.1200     -0.6550      3.5589      3.3590      0.4088   0.0000
   5.50    0.14000000     0.1400     -0.5140      3.5668      3.3170      0.4088   0.0000
   5.50    0.14632329     0.1460     -0.4780      3.5691      3.3100      0.4088   0.0000
   5.50    0.16000000     0.1600     -0.3960      3.5741      3.2860      0.4088   0.0000
   5.50    0.17408006     0.1740     -0.3230      3.5795      3.2720      0.4088   0.0000
   5.50    0.20226946     0.2020     -0.2150      3.5890      3.2670      0.4088   0.0000
   5.50    0.20837270     0.2080     -0.1900      3.5918      3.2660      0.4088   0.0000
   5.50    0.21764523     0.2180     -0.1460      3.5961      3.2580      0.4088   0.0000
   5.50    0.23525441     0.2350     -0.0620      3.6042      3.2410      0.4088   0.0000
   5.50    0.25123277     0.2510     -0.0020      3.6107      3.2350      0.4088   0.0000
   5.50    0.26026616     0.2600      0.0250      3.6143      3.2380      0.4088   0.0000
   5.50    0.26756528     0.2680      0.0500      3.6173      3.2370      0.4088   0.0000
   5.50    0.27589935     0.2760      0.0820      3.6208      3.2320      0.4088   0.0000
   5.50    0.28737992     0.2870      0.1250      3.6256      3.2260      0.4088   0.0000
   5.50    0.31258753     0.3130      0.1970      3.6344      3.2260      0.4088   0.0000
   5.50    0.32778698     0.3280      0.2320      3.6390      3.2290      0.4088   0.0000
   5.50    0.34295157     0.3430      0.2730      3.6437      3.2270      0.4088   0.0000
   5.50    0.36819622     0.3680      0.3280      3.6503      3.2290      0.4088   0.0000
   5.50    0.39715385     0.3970      0.3830      3.6569      3.2340      0.4088   0.0000
   5.50    0.40000001     0.4000      0.3890      3.6576      3.2340      0.4088   0.0000
   5.50    0.43549198     0.4350      0.4430      3.6647      3.2450      0.4088   0.0000
   5.50    0.45000002     0.4500      0.4650      3.6673      3.2470      0.4088   0.0000
   5.50    0.47063148     0.4700      0.4860      3.6706      3.2590      0.4088   0.0000
   5.50    0.50240654     0.5020      0.5260      3.6754      3.2660      0.4088   0.0000
   5.50    0.53326815     0.5330      0.5270      3.6800      3.3100      0.4088   0.0000
   5.50    0.55000007     0.5500      0.5370      3.6823      3.3220      0.4088   0.0000
   5.50    0.55539501     0.5550      0.5390      3.6827      3.3260      0.4088   0.0000
   5.50    0.56552064     0.5650      0.5480      3.6836      3.3290      0.4088   0.0000
   5.50    0.57645988     0.5760      0.5580      3.6848      3.3320      0.4088   0.0000
   5.50    0.58823168     0.5880      0.5650      3.6864      3.3400      0.4088   0.0000
   5.50    0.60000002     0.6000      0.5680      3.6881      3.3520      0.4088   0.0000
   5.50    0.60021925     0.6000      0.5690      3.6881      3.3520      0.4088   0.0000
   5.50    0.61214060     0.6120      0.5790      3.6891      3.3540      0.4088   0.0000
   5.50    0.62514126     0.6250      0.5880      3.6903      3.3590      0.4088   0.0000
   5.50    0.63926321     0.6390      0.5980      3.6918      3.3650      0.4088   0.0000
   5.50    0.64999998     0.6500      0.6040      3.6931      3.3710      0.4088   0.0000
   5.50    0.65411413     0.6540      0.6070      3.6934      3.3720      0.4088   0.0000
   5.50    0.67285424     0.6730      0.6220      3.6950      3.3760      0.4088   0.0000
   5.50    0.69325840     0.6930      0.6360      3.6969      3.3830      0.4088   0.0000
   5.50    0.70000005     0.7000      0.6410      3.6976      3.3840      0.4088   0.0000
   5.50    0.71064544     0.7110      0.6480      3.6995      3.3910      0.4073   0.0000
   5.50    0.73530883     0.7350      0.6670      3.7040      3.4060      0.4048   0.0000
   5.50    0.75000000     0.7500      0.6790      3.7068      3.4140      0.4030   0.0000
   5.50    0.76224101     0.7620      0.6870      3.7076      3.4160      0.4030   0.0000
   5.50    0.78628707     0.7860      0.7040      3.7093      3.4190      0.4030   0.0000
   5.50    0.80000001     0.8000      0.7120      3.7103      3.4230      0.4030   0.0000
   5.50    0.82992655     0.8300      0.7310      3.7121      3.4260      0.4030   0.0000
   5.50    0.85000002     0.8500      0.7450      3.7134      3.4280      0.4030   0.0000
   5.50    0.86461067     0.8640      0.7540      3.7142      3.4300      0.4030   0.0000
   5.50    0.89999998     0.8990      0.7760      3.7162      3.4330      0.4030   0.0000
   5.50    0.91172594     0.9110      0.7820      3.7168      3.4340      0.4030   0.0000
   5.50    0.94999999     0.9500      0.8060      3.7187      3.4370      0.4030   0.0000
   5.50    0.95567852     0.9550      0.8090      3.7190      3.4380      0.4030   0.0000
   5.50    0.99268401     0.9930      0.8310      3.7207      3.4390      0.4030   0.0000
   5.50    1.00000000     1.0000      0.8350      3.7210      3.4400      0.4030   0.0000
   5.50    1.00390983     1.0040      0.8360      3.7212      3.4400      0.4030   0.0000
   5.50    1.04944122     1.0490      0.8600      3.7231      3.4430      0.4030   0.0000
   5.50    1.04999995     1.0500      0.8610      3.7231      3.4430      0.4030   0.0000
   5.50    1.10000002     1.0990      0.8880      3.7251      3.4430      0.4030   0.0000
   5.50    1.10077941     1.1000      0.8890      3.7251      3.4430      0.4030   0.0000
   5.50    1.14999998     1.1490      0.9150      3.7268      3.4430      0.4030   0.0000
   5.50    1.17731810     1.1770      0.9270      3.7277      3.4440      0.4030   0.0000
   5.50    1.20000005     1.2000      0.9370      3.7285      3.4460      0.4030   0.0000
