 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -0.9960      3.4908      3.3030      0.4088   0.0000
   5.50    0.09494546     0.0950     -0.9590      3.4932      3.2990      0.4088   0.0000
   5.50    0.10000000     0.1000     -0.9240      3.4955      3.2960      0.4088   0.0000
   5.50    0.10877421     0.1090     -0.8600      3.4998      3.2860      0.4088   0.0000
   5.50    0.12000000     0.1200     -0.7950      3.5043      3.2810      0.4088   0.0000
   5.50    0.13604996     0.1360     -0.6870      3.5116      3.2570      0.4088   0.0000
   5.50    0.14000000     0.1400     -0.6700      3.5131      3.2590      0.4088   0.0000
   5.50    0.15115793     0.1510     -0.6070      3.5177      3.2480      0.4088   0.0000
   5.50    0.16000000     0.1600     -0.5580      3.5213      3.2370      0.4088   0.0000
   5.50    0.18211214     0.1820     -0.4600      3.5301      3.2310      0.4088   0.0000
   5.50    0.19999999     0.2000     -0.3870      3.5366      3.2250      0.4088   0.0000
   5.50    0.23057318     0.2310     -0.2510      3.5494      3.2020      0.4088   0.0000
   5.50    0.25000000     0.2500     -0.1730      3.5568      3.1880      0.4088   0.0000
   5.50    0.29495895     0.2950     -0.0090      3.5740      3.1650      0.4088   0.0000
   5.50    0.30000001     0.3000      0.0070      3.5758      3.1630      0.4088   0.0000
   5.50    0.31784374     0.3180      0.0640      3.5822      3.1570      0.4088   0.0000
   5.50    0.34999996     0.3500      0.1600      3.5929      3.1450      0.4088   0.0000
   5.50    0.39999998     0.4000      0.2890      3.6075      3.1330      0.4088   0.0000
   5.50    0.41489774     0.4150      0.3200      3.6112      3.1330      0.4088   0.0000
   5.50    0.44999999     0.4500      0.3920      3.6196      3.1300      0.4088   0.0000
   5.50    0.47243416     0.4720      0.4220      3.6240      3.1380      0.4088   0.0000
   5.50    0.49999994     0.5000      0.4690      3.6294      3.1380      0.4088   0.0000
   5.50    0.50910687     0.5090      0.4760      3.6307      3.1430      0.4088   0.0000
