 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09449661     0.0940     -1.0200      3.4419      3.1520      0.4085   0.0000
   5.50    0.09811965     0.0980     -0.9960      3.4435      3.1510      0.4085   0.0000
   5.50    0.10442847     0.1040     -0.9550      3.4461      3.1470      0.4085   0.0000
   5.50    0.11426486     0.1140     -0.8980      3.4503      3.1450      0.4085   0.0000
   5.50    0.12849690     0.1280     -0.8200      3.4562      3.1420      0.4085   0.0000
   5.50    0.14088877     0.1410     -0.7580      3.4614      3.1420      0.4085   0.0000
   5.50    0.14947829     0.1490     -0.7190      3.4653      3.1440      0.4085   0.0000
   5.50    0.16397767     0.1640     -0.6430      3.4718      3.1340      0.4085   0.0000
   5.50    0.16401969     0.1640     -0.6430      3.4718      3.1340      0.4085   0.0000
   5.50    0.19040279     0.1900     -0.5290      3.4852      3.1390      0.4085   0.0000
   5.50    0.20374717     0.2030     -0.4850      3.4916      3.1490      0.4085   0.0000
   5.50    0.21248111     0.2120     -0.4450      3.4963      3.1470      0.4085   0.0000
   5.50    0.25340652     0.2530     -0.2880      3.5163      3.1460      0.4085   0.0000
   5.50    0.26779911     0.2670     -0.2340      3.5228      3.1430      0.4085   0.0000
   5.50    0.30306590     0.3030     -0.1080      3.5377      3.1300      0.4085   0.0000
   5.50    0.35247293     0.3520      0.0360      3.5549      3.1200      0.4085   0.0000
   5.50    0.35272524     0.3530      0.0370      3.5550      3.1200      0.4085   0.0000
   5.50    0.36202461     0.3620      0.0600      3.5578      3.1200      0.4085   0.0000
   5.50    0.40238461     0.4020      0.1600      3.5694      3.1120      0.4085   0.0000
   5.50    0.43099114     0.4310      0.2150      3.5764      3.1150      0.4085   0.0000
   5.50    0.46598676     0.4660      0.2720      3.5840      3.1220      0.4085   0.0000
   5.50    0.48971710     0.4900      0.3060      3.5887      3.1290      0.4085   0.0000
   5.50    0.50170326     0.5020      0.3280      3.5911      3.1270      0.4085   0.0000
   5.50    0.54112941     0.5410      0.3880      3.5984      3.1290      0.4085   0.0000
   5.50    0.55136263     0.5510      0.4010      3.6004      3.1310      0.4085   0.0000
   5.50    0.56025964     0.5600      0.4070      3.6016      3.1380      0.4085   0.0000
   5.50    0.57562596     0.5750      0.4200      3.6037      3.1450      0.4085   0.0000
   5.50    0.59158581     0.5910      0.4360      3.6062      3.1500      0.4085   0.0000
   5.50    0.60102195     0.6010      0.4460      3.6078      3.1540      0.4085   0.0000
   5.50    0.60861146     0.6080      0.4500      3.6087      3.1600      0.4085   0.0000
   5.50    0.62637198     0.6260      0.4640      3.6109      3.1670      0.4085   0.0000
   5.50    0.64541239     0.6450      0.4810      3.6137      3.1740      0.4085   0.0000
   5.50    0.65068126     0.6510      0.4860      3.6145      3.1760      0.4085   0.0000
