 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -1.0340      3.4564      3.2040      0.4087   0.0000
   5.50    0.10018700     0.1000     -0.9630      3.4610      3.1980      0.4087   0.0000
   5.50    0.11135442     0.1110     -0.8920      3.4657      3.1920      0.4087   0.0000
   5.50    0.12000000     0.1200     -0.8450      3.4693      3.1910      0.4087   0.0000
   5.50    0.12938498     0.1290     -0.7940      3.4731      3.1880      0.4087   0.0000
   5.50    0.14000000     0.1400     -0.7410      3.4773      3.1860      0.4087   0.0000
   5.50    0.14875296     0.1490     -0.6990      3.4809      3.1850      0.4087   0.0000
   5.50    0.16000000     0.1600     -0.6410      3.4853      3.1760      0.4087   0.0000
   5.50    0.18837036     0.1880     -0.5200      3.4977      3.1750      0.4087   0.0000
   5.50    0.20000002     0.2000     -0.4780      3.5025      3.1790      0.4087   0.0000
   5.50    0.22864446     0.2290     -0.3580      3.5150      3.1670      0.4087   0.0000
   5.50    0.25000000     0.2500     -0.2870      3.5234      3.1690      0.4087   0.0000
   5.50    0.28036374     0.2800     -0.1740      3.5368      3.1590      0.4087   0.0000
   5.50    0.30000001     0.3000     -0.1090      3.5447      3.1550      0.4087   0.0000
   5.50    0.30173910     0.3020     -0.1040      3.5454      3.1550      0.4087   0.0000
   5.50    0.35000002     0.3500      0.0450      3.5630      3.1420      0.4087   0.0000
   5.50    0.35576606     0.3560      0.0590      3.5648      3.1420      0.4087   0.0000
   5.50    0.40000004     0.4000      0.1710      3.5783      3.1340      0.4087   0.0000
   5.50    0.40265372     0.4030      0.1760      3.5789      3.1340      0.4087   0.0000
   5.50    0.45899120     0.4590      0.2800      3.5924      3.1410      0.4087   0.0000
   5.50    0.47676885     0.4770      0.3030      3.5959      3.1490      0.4087   0.0000
   5.50    0.50000000     0.5000      0.3480      3.6008      3.1440      0.4087   0.0000
   5.50    0.51259285     0.5130      0.3570      3.6026      3.1540      0.4087   0.0000
   5.50    0.52287859     0.5230      0.3660      3.6042      3.1590      0.4087   0.0000
   5.50    0.53545052     0.5350      0.3820      3.6064      3.1620      0.4087   0.0000
   5.50    0.54878056     0.5480      0.4010      3.6090      3.1650      0.4087   0.0000
   5.50    0.55000001     0.5500      0.4020      3.6093      3.1650      0.4087   0.0000
   5.50    0.55341345     0.5530      0.4040      3.6098      3.1680      0.4087   0.0000
   5.50    0.56879228     0.5680      0.4130      3.6117      3.1790      0.4087   0.0000
   5.50    0.58462381     0.5840      0.4300      3.6141      3.1830      0.4087   0.0000
   5.50    0.60000002     0.6000      0.4450      3.6167      3.1900      0.4087   0.0000
   5.50    0.60367370     0.6030      0.4470      3.6171      3.1920      0.4087   0.0000
   5.50    0.62095052     0.6210      0.4610      3.6192      3.1990      0.4087   0.0000
   5.50    0.63944465     0.6390      0.4760      3.6218      3.2070      0.4087   0.0000
   5.50    0.64999998     0.6500      0.4840      3.6234      3.2120      0.4087   0.0000
   5.50    0.66534090     0.6650      0.4960      3.6250      3.2170      0.4087   0.0000
   5.50    0.68547112     0.6860      0.5130      3.6274      3.2230      0.4087   0.0000
   5.50    0.70000005     0.7000      0.5230      3.6293      3.2290      0.4087   0.0000
   5.50    0.75000000     0.7500      0.5680      3.6396      3.2560      0.4032   0.0000
   5.50    0.77538508     0.7750      0.5860      3.6418      3.2610      0.4032   0.0000
   5.50    0.80000007     0.8000      0.6030      3.6441      3.2660      0.4032   0.0000
   5.50    0.80102265     0.8010      0.6040      3.6441      3.2660      0.4032   0.0000
   5.50    0.83067518     0.8300      0.6250      3.6465      3.2700      0.4032   0.0000
   5.50    0.85000002     0.8500      0.6390      3.6481      3.2730      0.4032   0.0000
   5.50    0.86371636     0.8630      0.6480      3.6491      3.2750      0.4032   0.0000
   5.50    0.89999998     0.8990      0.6730      3.6518      3.2790      0.4032   0.0000
   5.50    0.92791665     0.9270      0.6900      3.6538      3.2820      0.4032   0.0000
   5.50    0.94999999     0.9500      0.7030      3.6553      3.2850      0.4032   0.0000
   5.50    0.98218447     0.9820      0.7240      3.6573      3.2870      0.4032   0.0000
   5.50    1.00000000     1.0000      0.7350      3.6585      3.2890      0.4032   0.0000
   5.50    1.00849843     1.0090      0.7400      3.6590      3.2900      0.4032   0.0000
   5.50    1.04999995     1.0500      0.7630      3.6615      3.2930      0.4032   0.0000
   5.50    1.05024445     1.0500      0.7640      3.6615      3.2930      0.4032   0.0000
   5.50    1.10000002     1.0990      0.7930      3.6642      3.2950      0.4032   0.0000
   5.50    1.12801409     1.1270      0.8080      3.6656      3.2970      0.4032   0.0000
   5.50    1.14999998     1.1490      0.8190      3.6668      3.2990      0.4032   0.0000
   5.50    1.15227580     1.1520      0.8200      3.6669      3.2990      0.4032   0.0000
   5.50    1.20000005     1.2000      0.8460      3.6692      3.3000      0.4032   0.0000
   5.50    1.25000000     1.2500      0.8690      3.6716      3.3040      0.4032   0.0000
   5.50    1.25156689     1.2510      0.8700      3.6716      3.3040      0.4032   0.0000
   5.50    1.29999995     1.3000      0.8940      3.6737      3.3050      0.4032   0.0000
   5.50    1.31392801     1.3140      0.9000      3.6743      3.3060      0.4032   0.0000
   5.50    1.35000002     1.3500      0.9170      3.6757      3.3060      0.4032   0.0000
   5.50    1.39999998     1.4000      0.9400      3.6776      3.3070      0.4032   0.0000
   5.50    1.45000005     1.4500      0.9620      3.6795      3.3080      0.4032   0.0000
   5.50    1.48705375     1.4870      0.9760      3.6808      3.3100      0.4032   0.0000
   5.50    1.50000000     1.5000      0.9810      3.6813      3.3100      0.4032   0.0000
   5.50    1.54999995     1.5500      1.0020      3.6829      3.3100      0.4032   0.0000
   5.50    1.59454763     1.5940      1.0200      3.6843      3.3100      0.4032   0.0000
   5.50    1.60000014     1.6000      1.0220      3.6845      3.3100      0.4032   0.0000
   5.50    1.64999998     1.6490      1.0410      3.6860      3.3110      0.4032   0.0000
   5.50    1.67357266     1.6730      1.0490      3.6867      3.3120      0.4032   0.0000
   5.50    1.70000005     1.6990      1.0590      3.6874      3.3110      0.4032   0.0000
   5.50    1.75000000     1.7490      1.0770      3.6888      3.3110      0.4032   0.0000
   5.50    1.78919744     1.7880      1.0900      3.6899      3.3120      0.4032   0.0000
   5.50    1.79999971     1.7990      1.0940      3.6901      3.3110      0.4032   0.0000
   5.50    1.84999990     1.8490      1.1110      3.6914      3.3110      0.4032   0.0000
   5.50    1.89999998     1.8990      1.1280      3.6926      3.3110      0.4032   0.0000
   5.50    1.93404257     1.9330      1.1380      3.6934      3.3120      0.4032   0.0000
   5.50    1.95000005     1.9500      1.1440      3.6938      3.3120      0.4032   0.0000
   5.50    2.00000000     2.0000      1.1600      3.6949      3.3100      0.4032   0.0000
   5.50    2.03340077     2.0330      1.1700      3.6956      3.3110      0.4032   0.0000
   5.50    2.04999995     2.0500      1.1750      3.6960      3.3110      0.4032   0.0000
   5.50    2.06107903     2.0600      1.1780      3.6962      3.3110      0.4032   0.0000
   5.50    2.09999990     2.0990      1.1910      3.6970      3.3090      0.4032   0.0000
   5.50    2.15000010     2.1490      1.2030      3.6981      3.3110      0.4032   0.0000
   5.50    2.15150094     2.1500      1.2040      3.6981      3.3110      0.4032   0.0000
   5.50    2.20000005     2.1990      1.2190      3.6990      3.3090      0.4032   0.0000
   5.50    2.25000000     2.2490      1.2330      3.7000      3.3090      0.4032   0.0000
   5.50    2.29691601     2.2950      1.2460      3.7008      3.3080      0.4032   0.0000
   5.50    2.29999995     2.2990      1.2470      3.7008      3.3080      0.4032   0.0000
   5.50    2.36100149     2.3600      1.2630      3.7019      3.3070      0.4032   0.0000
   5.50    2.40000010     2.3990      1.2740      3.7026      3.3070      0.4032   0.0000
   5.50    2.42954087     2.4290      1.2750      3.7033      3.3140      0.4032   0.0000
   5.50    2.58364487     2.5840      1.2920      3.7068      3.3370      0.4032   0.0000
   5.50    2.59999990     2.6000      1.2950      3.7071      3.3380      0.4032   0.0000
   5.50    2.75954056     2.7600      1.3370      3.7094      3.3310      0.4032   0.0000
   5.50    2.79999995     2.8000      1.3480      3.7100      3.3290      0.4032   0.0000
   5.50    2.87958980     2.8800      1.3670      3.7111      3.3270      0.4032   0.0000
   5.50    3.00000000     3.0000      1.3960      3.7129      3.3230      0.4032   0.0000
   5.50    3.01417279     3.0140      1.3990      3.7130      3.3220      0.4032   0.0000
   5.50    3.20000029     3.1990      1.4470      3.7155      3.3100      0.4032   0.0000
   5.50    3.30790806     3.3070      1.4740      3.7169      3.3030      0.4032   0.0000
   5.50    3.40000010     3.3980      1.4970      3.7182      3.2970      0.4032   0.0000
   5.50    3.59999990     3.5980      1.5510      3.7211      3.2790      0.4032   0.0000
   5.50    3.65488529     3.6530      1.5660      3.7219      3.2740      0.4032   0.0000
   5.50    3.79999995     3.7980      1.6110      3.7242      3.2550      0.4032   0.0000
   5.50    3.82102418     3.8190      1.6170      3.7245      3.2530      0.4032   0.0000
   5.50    4.00000000     4.0010      1.6780      3.7278      3.2250      0.4032   0.0000
   5.50    4.04682207     4.0470      1.6930      3.7287      3.2190      0.4032   0.0000
   5.50    4.08965492     4.0890      1.7080      3.7296      3.2120      0.4032   0.0000
   5.50    4.17250776     4.1710      1.7480      3.7317      3.1890      0.4032   0.0000
   5.50    4.19999981     4.1980      1.7610      3.7325      3.1820      0.4032   0.0000
   5.50    4.29905081     4.2970      1.8120      3.7353      3.1530      0.4032   0.0000
   5.50    4.40000010     4.3970      1.8680      3.7387      3.1200      0.4032   0.0000
   5.50    4.40491629     4.4020      1.8710      3.7389      3.1180      0.4032   0.0000
   5.50    4.55136204     4.5480      1.9680      3.7456      3.0620      0.4032   0.0000
   5.50    4.59999990     4.5970      2.0010      3.7482      3.0450      0.4032   0.0000
   5.50    4.63774204     4.6350      2.0260      3.7503      3.0310      0.4032   0.0000
   5.50    4.77550745     4.7730      2.1120      3.7595      2.9950      0.4032   0.0000
   5.50    4.80000019     4.7980      2.1270      3.7615      2.9900      0.4032   0.0000
   5.50    4.87077475     4.8690      2.1690      3.7674      2.9780      0.4032   0.0000
   5.50    4.96973515     4.9690      2.2290      3.7780      2.9690      0.4032   0.0000
   5.50    5.00000000     4.9990      2.2480      3.7821      2.9690      0.4032   0.0000
   5.50    5.04512310     5.0440      2.2770      3.7892      2.9730      0.4032   0.0000
   5.50    5.09915113     5.0990      2.3120      3.7996      2.9840      0.4032   0.0000
   5.50    5.14719772     5.1470      2.3440      3.8101      2.9980      0.4032   0.0000
   5.50    5.19118690     5.1910      2.3750      3.8204      3.0120      0.4032   0.0000
   5.50    5.19999981     5.2000      2.3810      3.8226      3.0150      0.4032   0.0000
   5.50    5.21185160     5.2120      2.3900      3.8254      3.0190      0.4032   0.0000
   5.50    5.25296211     5.2530      2.4200      3.8358      3.0340      0.4032   0.0000
   5.50    5.29281712     5.2930      2.4500      3.8462      3.0480      0.4032   0.0000
   5.50    5.33150434     5.3320      2.4800      3.8566      3.0630      0.4032   0.0000
   5.50    5.36908674     5.3700      2.5100      3.8670      3.0780      0.4032   0.0000
   5.50    5.39999962     5.4010      2.5350      3.8758      3.0900      0.4032   0.0000
   5.50    5.40579557     5.4060      2.5400      3.8774      3.0930      0.4032   0.0000
   5.50    5.44242764     5.4430      2.5700      3.8881      3.1080      0.4032   0.0000
   5.50    5.47811556     5.4790      2.6000      3.8989      3.1240      0.4032   0.0000
   5.50    5.51289940     5.5140      2.6300      3.9096      3.1390      0.4032   0.0000
   5.50    5.54682446     5.5480      2.6600      3.9204      3.1550      0.4032   0.0000
   5.50    5.57993126     5.5810      2.6900      3.9311      3.1710      0.4032   0.0000
   5.50    5.59999943     5.6010      2.7080      3.9378      3.1810      0.4032   0.0000
   5.50    5.61352205     5.6140      2.7200      3.9423      3.1880      0.4032   0.0000
   5.50    5.64446211     5.6450      2.7480      3.9527      3.2050      0.4032   0.0000
   5.50    5.67466068     5.6750      2.7760      3.9632      3.2210      0.4032   0.0000
   5.50    5.70416546     5.7050      2.8030      3.9737      3.2380      0.4032   0.0000
   5.50    5.73302746     5.7340      2.8300      3.9842      3.2550      0.4032   0.0000
   5.50    5.76128912     5.7620      2.8560      3.9946      3.2730      0.4032   0.0000
   5.50    5.78898573     5.7900      2.8820      4.0050      3.2910      0.4032   0.0000
   5.50    5.80000019     5.8010      2.8920      4.0092      3.2980      0.4032   0.0000
   5.50    5.80830145     5.8090      2.9000      4.0124      3.3040      0.4032   0.0000
   5.50    5.84319592     5.8440      2.9320      4.0260      3.3290      0.4032   0.0000
   5.50    5.87735415     5.8780      2.9630      4.0394      3.3540      0.4032   0.0000
   5.50    5.91086674     5.9110      2.9930      4.0529      3.3800      0.4032   0.0000
   5.50    5.94382143     5.9440      3.0220      4.0662      3.4070      0.4032   0.0000
   5.50    5.97629738     5.9770      3.0500      4.0796      3.4350      0.4032   0.0000
   5.50    6.00000000     6.0000      3.0700      4.0893      3.4560      0.4032   0.0000
   5.50    6.02933168     6.0300      3.0940      4.1015      3.4820      0.4032   0.0000
   5.50    6.06030893     6.0600      3.1180      4.1143      3.5110      0.4032   0.0000
   5.50    6.09107542     6.0910      3.1420      4.1271      3.5410      0.4032   0.0000
   5.50    6.12171078     6.1220      3.1650      4.1398      3.5710      0.4032   0.0000
   5.50    6.15229034     6.1520      3.1860      4.1524      3.6020      0.4032   0.0000
   5.50    6.18289471     6.1830      3.2070      4.1650      3.6340      0.4032   0.0000
   5.50    6.19999981     6.2000      3.2180      4.1720      3.6520      0.4032   0.0000
   5.50    6.20378780     6.2030      3.2200      4.1735      3.6560      0.4032   0.0000
   5.50    6.23596478     6.2350      3.2400      4.1865      3.6910      0.4032   0.0000
   5.50    6.26852512     6.2680      3.2590      4.1994      3.7260      0.4032   0.0000
   5.50    6.30162048     6.3010      3.2760      4.2123      3.7620      0.4032   0.0000
   5.50    6.33545303     6.3340      3.2930      4.2251      3.7990      0.4032   0.0000
   5.50    6.37035084     6.3690      3.3080      4.2379      3.8380      0.4032   0.0000
   5.50    6.40000057     6.3990      3.3190      4.2481      3.8700      0.4032   0.0000
   5.50    6.42648745     6.4250      3.3280      4.2570      3.8990      0.4032   0.0000
   5.50    6.43700361     6.4360      3.3310      4.2605      3.9100      0.4032   0.0000
   5.50    6.46930742     6.4680      3.3340      4.2689      3.9420      0.4032   0.0000
   5.50    6.52883434     6.5270      3.3260      4.2796      3.9970      0.4032   0.0000
   5.50    6.59262037     6.5900      3.3010      4.2851      4.0480      0.4032   0.0000
   5.50    6.63949823     6.6370      3.2760      4.2855      4.0780      0.4032   0.0000
   5.50    6.68527079     6.6820      3.2510      4.2844      4.1020      0.4032   0.0000
   5.50    6.73929882     6.7360      3.2340      4.2840      4.1200      0.4032   0.0000
   5.50    6.83279705     6.8290      3.2190      4.2850      4.1460      0.4032   0.0000
   5.50    6.92248440     6.9180      3.2420      4.2931      4.1600      0.4032   0.0000
   5.50    7.00000000     6.9960      3.2770      4.3045      4.1750      0.4032   0.0000
   5.50    7.04948711     7.0460      3.2990      4.3116      4.1850      0.4032   0.0000
