 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -0.9590      3.5175      3.3730      0.4087   0.0000
   5.50    0.09389234     0.0940     -0.9280      3.5194      3.3680      0.4087   0.0000
   5.50    0.09946395     0.0990     -0.8900      3.5217      3.3650      0.4087   0.0000
   5.50    0.11545555     0.1150     -0.7680      3.5286      3.3340      0.4087   0.0000
   5.50    0.11754098     0.1170     -0.7590      3.5292      3.3350      0.4087   0.0000
   5.50    0.12218844     0.1220     -0.7240      3.5312      3.3250      0.4087   0.0000
   5.50    0.13590163     0.1360     -0.6240      3.5369      3.2940      0.4087   0.0000
   5.50    0.15392300     0.1540     -0.5200      3.5439      3.2720      0.4087   0.0000
   5.50    0.15426229     0.1540     -0.5180      3.5440      3.2710      0.4087   0.0000
   5.50    0.18963663     0.1890     -0.3520      3.5570      3.2470      0.4087   0.0000
   5.50    0.19098361     0.1900     -0.3470      3.5575      3.2460      0.4087   0.0000
   5.50    0.21398516     0.2130     -0.2450      3.5667      3.2310      0.4087   0.0000
   5.50    0.23688523     0.2360     -0.1490      3.5752      3.2120      0.4087   0.0000
   5.50    0.28278688     0.2820      0.0240      3.5929      3.1870      0.4087   0.0000
   5.50    0.31108931     0.3100      0.1180      3.6035      3.1780      0.4087   0.0000
   5.50    0.32868850     0.3280      0.1730      3.6097      3.1710      0.4087   0.0000
   5.50    0.37459013     0.3740      0.2990      3.6243      3.1610      0.4087   0.0000
   5.50    0.42049181     0.4200      0.4020      3.6364      3.1570      0.4087   0.0000
   5.50    0.44704106     0.4460      0.4440      3.6420      3.1640      0.4087   0.0000
   5.50    0.46639341     0.4660      0.4770      3.6460      3.1650      0.4087   0.0000
   5.50    0.51229507     0.5120      0.5300      3.6533      3.1820      0.4087   0.0000
   5.50    0.51747125     0.5170      0.5280      3.6538      3.1910      0.4087   0.0000
   5.50    0.52372265     0.5230      0.5260      3.6544      3.2000      0.4087   0.0000
   5.50    0.53151029     0.5310      0.5320      3.6554      3.2040      0.4087   0.0000
   5.50    0.53990573     0.5390      0.5450      3.6566      3.2040      0.4087   0.0000
   5.50    0.54898286     0.5480      0.5590      3.6583      3.2030      0.4087   0.0000
   5.50    0.55819666     0.5580      0.5650      3.6601      3.2110      0.4087   0.0000
   5.50    0.56722081     0.5670      0.5630      3.6609      3.2230      0.4087   0.0000
   5.50    0.57747597     0.5770      0.5740      3.6620      3.2250      0.4087   0.0000
   5.50    0.58845830     0.5880      0.5880      3.6636      3.2260      0.4087   0.0000
   5.50    0.60014182     0.6000      0.5940      3.6656      3.2360      0.4087   0.0000
   5.50    0.60409826     0.6040      0.5950      3.6663      3.2410      0.4087   0.0000
   5.50    0.62678570     0.6270      0.6070      3.6689      3.2560      0.4087   0.0000
   5.50    0.64999998     0.6500      0.6190      3.6718      3.2710      0.4087   0.0000
   5.50    0.65997565     0.6600      0.6250      3.6728      3.2760      0.4087   0.0000
   5.50    0.68377954     0.6840      0.6410      3.6752      3.2850      0.4087   0.0000
   5.50    0.69761902     0.6980      0.6480      3.6769      3.2930      0.4087   0.0000
   5.50    0.70077282     0.7010      0.6500      3.6774      3.2950      0.4083   0.0000
   5.50    0.73962450     0.7400      0.6750      3.6834      3.3180      0.4043   0.0000
   5.50    0.74523807     0.7450      0.6790      3.6843      3.3210      0.4037   0.0000
   5.50    0.76662105     0.7660      0.6930      3.6862      3.3260      0.4035   0.0000
   5.50    0.79285717     0.7930      0.7100      3.6886      3.3340      0.4032   0.0000
   5.50    0.80579990     0.8050      0.7170      3.6896      3.3370      0.4032   0.0000
   5.50    0.83774543     0.8370      0.7370      3.6921      3.3450      0.4032   0.0000
   5.50    0.84047616     0.8400      0.7380      3.6923      3.3450      0.4032   0.0000
   5.50    0.84935224     0.8490      0.7430      3.6929      3.3470      0.4032   0.0000
   5.50    0.88057876     0.8800      0.7630      3.6951      3.3520      0.4032   0.0000
   5.50    0.88809526     0.8870      0.7680      3.6957      3.3530      0.4032   0.0000
   5.50    0.91644859     0.9160      0.7830      3.6975      3.3580      0.4032   0.0000
   5.50    0.93571424     0.9350      0.7950      3.6988      3.3610      0.4032   0.0000
   5.50    0.96042860     0.9600      0.8080      3.7003      3.3650      0.4032   0.0000
   5.50    0.98333329     0.9830      0.8210      3.7017      3.3690      0.4032   0.0000
   5.50    1.02556634     1.0250      0.8450      3.7041      3.3720      0.4032   0.0000
   5.50    1.03095233     1.0300      0.8470      3.7044      3.3730      0.4032   0.0000
   5.50    1.04227769     1.0420      0.8530      3.7050      3.3750      0.4032   0.0000
   5.50    1.07857144     1.0780      0.8710      3.7069      3.3790      0.4032   0.0000
   5.50    1.12619054     1.1250      0.8960      3.7092      3.3820      0.4032   0.0000
   5.50    1.12773204     1.1270      0.8970      3.7092      3.3820      0.4032   0.0000
   5.50    1.17380953     1.1730      0.9190      3.7113      3.3850      0.4032   0.0000
   5.50    1.22142851     1.2210      0.9430      3.7133      3.3870      0.4032   0.0000
   5.50    1.23460495     1.2340      0.9480      3.7138      3.3880      0.4032   0.0000
   5.50    1.26904774     1.2690      0.9650      3.7152      3.3890      0.4032   0.0000
   5.50    1.31666672     1.3160      0.9840      3.7170      3.3930      0.4032   0.0000
