 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -0.8840      3.5500      3.4280      0.4087   0.0000
   5.50    0.10000000     0.1000     -0.7820      3.5549      3.3920      0.4087   0.0000
   5.50    0.12000000     0.1200     -0.6480      3.5627      3.3680      0.4087   0.0000
   5.50    0.14000000     0.1400     -0.5270      3.5700      3.3430      0.4087   0.0000
   5.50    0.16209196     0.1620     -0.3990      3.5782      3.3120      0.4087   0.0000
   5.50    0.16645445     0.1660     -0.3760      3.5799      3.3070      0.4087   0.0000
   5.50    0.17247424     0.1720     -0.3430      3.5823      3.2980      0.4087   0.0000
   5.50    0.18312077     0.1830     -0.2830      3.5864      3.2810      0.4087   0.0000
   5.50    0.20285740     0.2030     -0.2000      3.5935      3.2710      0.4087   0.0000
   5.50    0.21112864     0.2110     -0.1630      3.5974      3.2670      0.4087   0.0000
   5.50    0.21894406     0.2190     -0.1280      3.6010      3.2620      0.4087   0.0000
   5.50    0.22618926     0.2260     -0.0960      3.6043      3.2570      0.4087   0.0000
   5.50    0.23302881     0.2330     -0.0660      3.6074      3.2530      0.4087   0.0000
   5.50    0.23873168     0.2390     -0.0400      3.6099      3.2480      0.4087   0.0000
   5.50    0.24576940     0.2460     -0.0100      3.6130      3.2430      0.4087   0.0000
   5.50    0.25456601     0.2550      0.0230      3.6167      3.2400      0.4087   0.0000
   5.50    0.26550236     0.2650      0.0610      3.6215      3.2390      0.4087   0.0000
   5.50    0.27610812     0.2760      0.1000      3.6260      3.2350      0.4087   0.0000
   5.50    0.28629297     0.2860      0.1380      3.6302      3.2290      0.4087   0.0000
   5.50    0.29609725     0.2960      0.1750      3.6342      3.2230      0.4087   0.0000
   5.50    0.30602852     0.3060      0.2020      3.6377      3.2240      0.4087   0.0000
   5.50    0.32248706     0.3220      0.2440      3.6429      3.2260      0.4087   0.0000
   5.50    0.33874899     0.3390      0.2910      3.6480      3.2200      0.4087   0.0000
   5.50    0.36536029     0.3650      0.3440      3.6548      3.2280      0.4087   0.0000
   5.50    0.39387169     0.3940      0.4020      3.6614      3.2290      0.4087   0.0000
   5.50    0.41033334     0.4100      0.4230      3.6647      3.2390      0.4087   0.0000
   5.50    0.44494227     0.4450      0.4590      3.6708      3.2620      0.4087   0.0000
   5.50    0.45000002     0.4500      0.4670      3.6717      3.2620      0.4087   0.0000
   5.50    0.47063592     0.4710      0.4800      3.6749      3.2820      0.4087   0.0000
   5.50    0.50445175     0.5040      0.5060      3.6796      3.3060      0.4087   0.0000
   5.50    0.51619977     0.5160      0.5190      3.6811      3.3090      0.4087   0.0000
   5.50    0.52771288     0.5280      0.5190      3.6824      3.3230      0.4087   0.0000
   5.50    0.53893435     0.5390      0.5180      3.6838      3.3390      0.4087   0.0000
   5.50    0.54979533     0.5490      0.5300      3.6853      3.3420      0.4087   0.0000
   5.50    0.55000007     0.5500      0.5300      3.6853      3.3420      0.4087   0.0000
   5.50    0.55929965     0.5590      0.5370      3.6860      3.3450      0.4087   0.0000
   5.50    0.56890434     0.5690      0.5480      3.6869      3.3440      0.4087   0.0000
   5.50    0.57926971     0.5790      0.5570      3.6881      3.3480      0.4087   0.0000
   5.50    0.59041131     0.5900      0.5620      3.6895      3.3570      0.4087   0.0000
   5.50    0.60000002     0.6000      0.5660      3.6909      3.3650      0.4087   0.0000
   5.50    0.60206389     0.6020      0.5680      3.6911      3.3660      0.4087   0.0000
   5.50    0.61345333     0.6130      0.5780      3.6920      3.3680      0.4087   0.0000
   5.50    0.62586200     0.6260      0.5870      3.6932      3.3720      0.4087   0.0000
   5.50    0.63932723     0.6390      0.5970      3.6946      3.3770      0.4087   0.0000
   5.50    0.64999998     0.6500      0.6030      3.6958      3.3830      0.4087   0.0000
   5.50    0.65315741     0.6530      0.6050      3.6960      3.3840      0.4087   0.0000
   5.50    0.66991407     0.6700      0.6190      3.6974      3.3870      0.4087   0.0000
   5.50    0.68810403     0.6880      0.6320      3.6990      3.3920      0.4087   0.0000
   5.50    0.69999999     0.7000      0.6390      3.7002      3.3960      0.4087   0.0000
   5.50    0.70458299     0.7050      0.6420      3.7010      3.4000      0.4082   0.0000
   5.50    0.73061126     0.7310      0.6630      3.7059      3.4140      0.4053   0.0000
   5.50    0.75000000     0.7500      0.6790      3.7097      3.4250      0.4033   0.0000
   5.50    0.75837427     0.7580      0.6840      3.7102      3.4270      0.4033   0.0000
   5.50    0.78140998     0.7810      0.7000      3.7117      3.4290      0.4033   0.0000
   5.50    0.80000001     0.8000      0.7120      3.7130      3.4330      0.4033   0.0000
   5.50    0.82358241     0.8230      0.7280      3.7144      3.4350      0.4033   0.0000
   5.50    0.85000002     0.8500      0.7450      3.7160      3.4380      0.4033   0.0000
   5.50    0.85874516     0.8580      0.7510      3.7164      3.4390      0.4033   0.0000
   5.50    0.89602882     0.8950      0.7730      3.7184      3.4420      0.4033   0.0000
   5.50    0.89999998     0.8990      0.7750      3.7186      3.4430      0.4033   0.0000
   5.50    0.90459913     0.9040      0.7780      3.7189      3.4440      0.4033   0.0000
