 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    1.63545883     1.6350      1.1130      3.7293      3.4080      0.4032   0.0000
   5.50    1.64999986     1.6490      1.1180      3.7296      3.4080      0.4032   0.0000
   5.50    1.70000005     1.6990      1.1370      3.7307      3.4060      0.4032   0.0000
   5.50    1.75000000     1.7490      1.1550      3.7318      3.4050      0.4032   0.0000
   5.50    1.78691506     1.7860      1.1670      3.7326      3.4060      0.4032   0.0000
   5.50    1.79999995     1.7990      1.1710      3.7329      3.4050      0.4032   0.0000
   5.50    1.84999990     1.8490      1.1880      3.7339      3.4050      0.4032   0.0000
   5.50    1.86575794     1.8650      1.1930      3.7342      3.4040      0.4032   0.0000
   5.50    1.89999998     1.8990      1.2060      3.7348      3.4020      0.4032   0.0000
   5.50    1.95000005     1.9500      1.2220      3.7358      3.4010      0.4032   0.0000
   5.50    2.00000000     2.0000      1.2370      3.7367      3.4010      0.4032   0.0000
   5.50    2.00705481     2.0070      1.2390      3.7368      3.4010      0.4032   0.0000
   5.50    2.04999995     2.0500      1.2560      3.7375      3.3960      0.4032   0.0000
   5.50    2.09999990     2.0990      1.2720      3.7384      3.3940      0.4032   0.0000
   5.50    2.14081740     2.1390      1.2830      3.7392      3.3940      0.4032   0.0000
   5.50    2.15000010     2.1490      1.2860      3.7393      3.3930      0.4032   0.0000
   5.50    2.20000005     2.1990      1.3040      3.7401      3.3880      0.4032   0.0000
   5.50    2.25000000     2.2490      1.3190      3.7409      3.3860      0.4032   0.0000
   5.50    2.25185466     2.2510      1.3190      3.7409      3.3870      0.4032   0.0000
   5.50    2.29999995     2.2990      1.3350      3.7417      3.3830      0.4032   0.0000
   5.50    2.34999990     2.3490      1.3510      3.7425      3.3800      0.4032   0.0000
   5.50    2.40000010     2.3990      1.3690      3.7432      3.3740      0.4032   0.0000
   5.50    2.50032043     2.5000      1.3940      3.7452      3.3750      0.4032   0.0000
   5.50    2.59999990     2.6000      1.4260      3.7472      3.3670      0.4032   0.0000
   5.50    2.63154197     2.6320      1.4370      3.7477      3.3640      0.4032   0.0000
   5.50    2.80000019     2.8000      1.5070      3.7505      3.3330      0.4032   0.0000
   5.50    2.91160703     2.9120      1.5500      3.7525      3.3140      0.4032   0.0000
   5.50    2.94701433     2.9470      1.5660      3.7531      3.3060      0.4032   0.0000
   5.50    3.00000000     3.0000      1.5990      3.7544      3.2860      0.4032   0.0000
   5.50    3.08292198     3.0830      1.6500      3.7564      3.2540      0.4032   0.0000
   5.50    3.18935966     3.1890      1.7250      3.7595      3.2070      0.4032   0.0000
   5.50    3.20000029     3.1990      1.7330      3.7598      3.2010      0.4032   0.0000
   5.50    3.21480536     3.2140      1.7450      3.7603      3.1940      0.4032   0.0000
   5.50    3.28985548     3.2890      1.8130      3.7632      3.1470      0.4032   0.0000
   5.50    3.37114382     3.3690      1.8910      3.7672      3.0950      0.4032   0.0000
   5.50    3.40000010     3.3980      1.9190      3.7687      3.0770      0.4032   0.0000
   5.50    3.41162777     3.4100      1.9300      3.7694      3.0700      0.4032   0.0000
   5.50    3.48968363     3.4880      1.9980      3.7747      3.0330      0.4032   0.0000
   5.50    3.56543159     3.5630      2.0600      3.7815      3.0080      0.4032   0.0000
   5.50    3.59999990     3.5980      2.0870      3.7856      3.0020      0.4032   0.0000
   5.50    3.61043715     3.6080      2.0950      3.7870      3.0000      0.4032   0.0000
   5.50    3.65733361     3.6550      2.1320      3.7945      2.9990      0.4032   0.0000
   5.50    3.70008564     3.6980      2.1650      3.8028      3.0040      0.4032   0.0000
   5.50    3.74175835     3.7400      2.1970      3.8120      3.0140      0.4032   0.0000
   5.50    3.78275347     3.7810      2.2290      3.8225      3.0280      0.4032   0.0000
   5.50    3.80000019     3.7980      2.2430      3.8272      3.0360      0.4032   0.0000
   5.50    3.83504367     3.8340      2.2700      3.8375      3.0530      0.4032   0.0000
   5.50    3.87326717     3.8720      2.3000      3.8490      3.0740      0.4032   0.0000
   5.50    3.91144681     3.9110      2.3300      3.8608      3.0950      0.4032   0.0000
   5.50    3.94963503     3.9500      2.3600      3.8728      3.1170      0.4032   0.0000
   5.50    3.98786664     3.9880      2.3900      3.8850      3.1400      0.4032   0.0000
   5.50    4.00000000     4.0010      2.4000      3.8889      3.1480      0.4032   0.0000
   5.50    4.03636646     4.0360      2.4280      3.9007      3.1700      0.4032   0.0000
   5.50    4.07544708     4.0750      2.4590      3.9135      3.1950      0.4032   0.0000
   5.50    4.11465740     4.1140      2.4890      3.9265      3.2210      0.4032   0.0000
   5.50    4.15403271     4.1520      2.5190      3.9397      3.2480      0.4032   0.0000
   5.50    4.19362926     4.1910      2.5490      3.9531      3.2760      0.4032   0.0000
   5.50    4.19999981     4.1980      2.5530      3.9553      3.2810      0.4032   0.0000
   5.50    4.22402239     4.2220      2.5710      3.9634      3.2980      0.4032   0.0000
   5.50    4.26497459     4.2630      2.6010      3.9774      3.3280      0.4032   0.0000
   5.50    4.30632257     4.3040      2.6310      3.9916      3.3600      0.4032   0.0000
   5.50    4.34814978     4.3450      2.6600      4.0060      3.3920      0.4032   0.0000
   5.50    4.39052916     4.3870      2.6890      4.0206      3.4260      0.4032   0.0000
   5.50    4.40000010     4.3970      2.6950      4.0238      3.4330      0.4032   0.0000
   5.50    4.42249346     4.4200      2.7100      4.0315      3.4520      0.4032   0.0000
   5.50    4.46434164     4.4620      2.7370      4.0457      3.4860      0.4032   0.0000
   5.50    4.50699902     4.5040      2.7630      4.0601      3.5210      0.4032   0.0000
   5.50    4.55054092     4.5480      2.7890      4.0747      3.5570      0.4032   0.0000
   5.50    4.59503746     4.5920      2.8150      4.0895      3.5950      0.4032   0.0000
   5.50    4.59999990     4.5970      2.8180      4.0911      3.5990      0.4032   0.0000
   5.50    4.62529039     4.6230      2.8330      4.1017      3.6280      0.4032   0.0000
   5.50    4.66114330     4.6590      2.8550      4.1163      3.6690      0.4032   0.0000
   5.50    4.69851303     4.6960      2.8760      4.1312      3.7100      0.4032   0.0000
   5.50    4.73750067     4.7350      2.8970      4.1463      3.7540      0.4032   0.0000
   5.50    4.77821255     4.7760      2.9180      4.1617      3.7980      0.4032   0.0000
   5.50    4.80000019     4.7980      2.9290      4.1697      3.8210      0.4032   0.0000
   5.50    4.80922174     4.8070      2.9330      4.1726      3.8290      0.4032   0.0000
   5.50    4.86160612     4.8600      2.9560      4.1889      3.8760      0.4032   0.0000
   5.50    4.91594934     4.9150      2.9790      4.2051      3.9230      0.4032   0.0000
   5.50    4.97249508     4.9710      3.0010      4.2214      3.9720      0.4032   0.0000
   5.50    5.00000000     4.9990      3.0110      4.2290      3.9940      0.4032   0.0000
   5.50    5.03204107     5.0310      3.0220      4.2373      4.0190      0.4032   0.0000
   5.50    5.11273384     5.1120      3.0480      4.2570      4.0790      0.4032   0.0000
   5.50    5.18196726     5.1810      3.0680      4.2730      4.1280      0.4032   0.0000
   5.50    5.19770288     5.1970      3.0720      4.2764      4.1390      0.4032   0.0000
   5.50    5.23219299     5.2320      3.0810      4.2835      4.1620      0.4032   0.0000
   5.50    5.26563978     5.2650      3.0890      4.2904      4.1840      0.4032   0.0000
   5.50    5.34070921     5.3400      3.1060      4.3045      4.2290      0.4032   0.0000
