 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -1.0270      3.4633      3.2240      0.4087   0.0000
   5.50    0.10000000     0.1000     -0.9570      3.4680      3.2190      0.4087   0.0000
   5.50    0.11161283     0.1120     -0.8850      3.4731      3.2150      0.4087   0.0000
   5.50    0.12615281     0.1260     -0.7970      3.4793      3.2050      0.4087   0.0000
   5.50    0.13751101     0.1370     -0.7400      3.4838      3.2040      0.4087   0.0000
   5.50    0.14396924     0.1440     -0.7150      3.4864      3.2080      0.4087   0.0000
   5.50    0.15775278     0.1580     -0.6380      3.4920      3.1940      0.4087   0.0000
   5.50    0.16000000     0.1600     -0.6280      3.4929      3.1930      0.4087   0.0000
   5.50    0.18381166     0.1840     -0.5180      3.5031      3.1840      0.4087   0.0000
   5.50    0.20000000     0.2000     -0.4580      3.5094      3.1860      0.4087   0.0000
   5.50    0.23212223     0.2320     -0.3260      3.5229      3.1730      0.4087   0.0000
   5.50    0.25000000     0.2500     -0.2670      3.5297      3.1740      0.4087   0.0000
   5.50    0.30000001     0.3000     -0.0860      3.5508      3.1560      0.4087   0.0000
   5.50    0.31027076     0.3100     -0.0530      3.5547      3.1540      0.4087   0.0000
   5.50    0.35000002     0.3500      0.0700      3.5690      3.1400      0.4087   0.0000
   5.50    0.35890710     0.3590      0.0920      3.5718      3.1400      0.4087   0.0000
   5.50    0.40000004     0.4000      0.1970      3.5841      3.1310      0.4087   0.0000
   5.50    0.40756339     0.4070      0.2120      3.5860      3.1330      0.4087   0.0000
   5.50    0.45603931     0.4560      0.3040      3.5975      3.1340      0.4087   0.0000
   5.50    0.47554952     0.4750      0.3300      3.6014      3.1420      0.4087   0.0000
   5.50    0.50000000     0.5000      0.3750      3.6063      3.1400      0.4087   0.0000
   5.50    0.51157886     0.5120      0.3830      3.6080      3.1480      0.4087   0.0000
   5.50    0.52145886     0.5210      0.3930      3.6095      3.1520      0.4087   0.0000
   5.50    0.53379422     0.5340      0.4080      3.6116      3.1560      0.4087   0.0000
   5.50    0.54691607     0.5470      0.4260      3.6140      3.1580      0.4087   0.0000
   5.50    0.55000001     0.5500      0.4300      3.6146      3.1590      0.4087   0.0000
   5.50    0.56286770     0.5630      0.4390      3.6163      3.1660      0.4087   0.0000
   5.50    0.57806337     0.5780      0.4530      3.6184      3.1720      0.4087   0.0000
