 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    0.09000000     0.0900     -0.9680      3.5109      3.3560      0.4088   0.0000
   5.50    0.09254355     0.0930     -0.9480      3.5122      3.3530      0.4088   0.0000
   5.50    0.09944420     0.0990     -0.9020      3.5151      3.3500      0.4088   0.0000
   5.50    0.11621767     0.1160     -0.7760      3.5226      3.3200      0.4088   0.0000
   5.50    0.11833260     0.1180     -0.7660      3.5232      3.3210      0.4088   0.0000
   5.50    0.12305250     0.1230     -0.7320      3.5253      3.3130      0.4088   0.0000
   5.50    0.13722101     0.1370     -0.6330      3.5313      3.2850      0.4088   0.0000
   5.50    0.15452252     0.1540     -0.5340      3.5380      3.2640      0.4088   0.0000
   5.50    0.15610942     0.1560     -0.5250      3.5386      3.2620      0.4088   0.0000
   5.50    0.18961397     0.1890     -0.3690      3.5513      3.2410      0.4088   0.0000
   5.50    0.19388622     0.1930     -0.3530      3.5527      3.2400      0.4088   0.0000
   5.50    0.21319447     0.2120     -0.2670      3.5606      3.2270      0.4088   0.0000
   5.50    0.24110723     0.2400     -0.1490      3.5712      3.2050      0.4088   0.0000
   5.50    0.28832826     0.2870      0.0250      3.5892      3.1800      0.4088   0.0000
   5.50    0.30572349     0.3050      0.0820      3.5957      3.1750      0.4088   0.0000
   5.50    0.33554924     0.3350      0.1760      3.6061      3.1630      0.4088   0.0000
   5.50    0.38277024     0.3820      0.3020      3.6207      3.1530      0.4088   0.0000
   5.50    0.41503915     0.4140      0.3710      3.6290      3.1520      0.4088   0.0000
   5.50    0.42999130     0.4290      0.4030      3.6327      3.1500      0.4088   0.0000
   5.50    0.44702059     0.4460      0.4270      3.6362      3.1580      0.4088   0.0000
   5.50    0.47721228     0.4760      0.4750      3.6422      3.1620      0.4088   0.0000
   5.50    0.49500486     0.4940      0.4990      3.6451      3.1660      0.4088   0.0000
   5.50    0.51453018     0.5140      0.5210      3.6483      3.1720      0.4088   0.0000
   5.50    0.52443331     0.5240      0.5320      3.6498      3.1760      0.4088   0.0000
   5.50    0.52569783     0.5250      0.5320      3.6500      3.1780      0.4088   0.0000
   5.50    0.53273320     0.5320      0.5320      3.6507      3.1860      0.4088   0.0000
   5.50    0.54151016     0.5410      0.5370      3.6518      3.1930      0.4088   0.0000
   5.50    0.55098754     0.5500      0.5480      3.6531      3.1950      0.4088   0.0000
   5.50    0.56125224     0.5600      0.5620      3.6548      3.1960      0.4088   0.0000
   5.50    0.57165432     0.5710      0.5690      3.6567      3.2040      0.4088   0.0000
   5.50    0.58143795     0.5810      0.5680      3.6576      3.2160      0.4088   0.0000
   5.50    0.59252846     0.5920      0.5780      3.6588      3.2190      0.4088   0.0000
   5.50    0.60441726     0.6040      0.5920      3.6605      3.2210      0.4088   0.0000
   5.50    0.61707836     0.6160      0.5990      3.6626      3.2310      0.4088   0.0000
   5.50    0.61887527     0.6180      0.5990      3.6629      3.2340      0.4088   0.0000
   5.50    0.62006181     0.6190      0.5990      3.6630      3.2350      0.4088   0.0000
   5.50    0.64228714     0.6420      0.6110      3.6654      3.2480      0.4088   0.0000
   5.50    0.66609633     0.6660      0.6240      3.6684      3.2630      0.4088   0.0000
   5.50    0.67526114     0.6750      0.6290      3.6695      3.2680      0.4083   0.0000
   5.50    0.70937252     0.7090      0.6540      3.6738      3.2820      0.4064   0.0000
   5.50    0.71448189     0.7140      0.6580      3.6745      3.2840      0.4061   0.0000
   5.50    0.72988218     0.7290      0.6650      3.6765      3.2940      0.4053   0.0000
