 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    1.81778121     1.8170      1.0960      3.6854      3.2950      0.4033   0.0000
   5.50    1.84261334     1.8410      1.1040      3.6861      3.2960      0.4033   0.0000
   5.50    1.86744547     1.8660      1.1120      3.6867      3.2950      0.4033   0.0000
   5.50    1.89227748     1.8910      1.1190      3.6873      3.2970      0.4033   0.0000
   5.50    1.90527272     1.9040      1.1230      3.6877      3.2970      0.4033   0.0000
   5.50    1.91710973     1.9160      1.1280      3.6879      3.2960      0.4033   0.0000
   5.50    1.93666875     1.9360      1.1340      3.6883      3.2960      0.4033   0.0000
   5.50    1.94215810     1.9420      1.1360      3.6884      3.2960      0.4033   0.0000
   5.50    1.99225485     1.9920      1.1520      3.6896      3.2960      0.4033   0.0000
   5.50    2.03179741     2.0310      1.1630      3.6905      3.2970      0.4033   0.0000
   5.50    2.04235172     2.0420      1.1660      3.6907      3.2960      0.4033   0.0000
   5.50    2.09244847     2.0910      1.1820      3.6917      3.2960      0.4033   0.0000
   5.50    2.14254546     2.1410      1.1970      3.6927      3.2950      0.4033   0.0000
   5.50    2.19264221     2.1910      1.2120      3.6936      3.2930      0.4033   0.0000
   5.50    2.24273872     2.2410      1.2240      3.6946      3.2950      0.4033   0.0000
   5.50    2.25846577     2.2570      1.2290      3.6949      3.2940      0.4033   0.0000
   5.50    2.29283571     2.2910      1.2390      3.6955      3.2930      0.4033   0.0000
   5.50    2.35004187     2.3490      1.2400      3.6971      3.3090      0.4032   0.0000
   5.50    2.39302945     2.3920      1.2440      3.6981      3.3170      0.4032   0.0000
   5.50    2.47470951     2.4740      1.2600      3.6996      3.3220      0.4032   0.0000
   5.50    2.59341669     2.5930      1.2860      3.7017      3.3240      0.4032   0.0000
   5.50    2.65151262     2.6510      1.3010      3.7026      3.3230      0.4032   0.0000
   5.50    2.79380369     2.7940      1.3380      3.7046      3.3170      0.4032   0.0000
   5.50    2.87441063     2.8750      1.3560      3.7058      3.3160      0.4032   0.0000
   5.50    2.99419117     2.9940      1.3860      3.7074      3.3100      0.4032   0.0000
   5.50    3.10831857     3.1080      1.4120      3.7089      3.3070      0.4032   0.0000
   5.50    3.19457841     3.1940      1.4340      3.7100      3.3010      0.4032   0.0000
   5.50    3.32710719     3.3250      1.4660      3.7117      3.2920      0.4032   0.0000
   5.50    3.39496589     3.3930      1.4830      3.7126      3.2880      0.4032   0.0000
   5.50    3.42671800     3.4250      1.4900      3.7130      3.2870      0.4032   0.0000
   5.50    3.59535313     3.5930      1.5350      3.7152      3.2720      0.4032   0.0000
   5.50    3.71488047     3.7130      1.5640      3.7170      3.2640      0.4032   0.0000
   5.50    3.79574013     3.7940      1.5890      3.7181      3.2530      0.4032   0.0000
   5.50    3.98876381     3.9890      1.6460      3.7212      3.2300      0.4032   0.0000
   5.50    3.99612761     3.9970      1.6480      3.7213      3.2290      0.4032   0.0000
   5.50    4.02917194     4.0290      1.6570      3.7219      3.2250      0.4032   0.0000
   5.50    4.19651508     4.1950      1.7150      3.7252      3.1980      0.4032   0.0000
   5.50    4.20172501     4.2000      1.7170      3.7253      3.1970      0.4032   0.0000
   5.50    4.39690208     4.3940      1.8080      3.7303      3.1460      0.4032   0.0000
   5.50    4.41332674     4.4110      1.8160      3.7307      3.1420      0.4032   0.0000
   5.50    4.56368685     4.5610      1.9040      3.7363      3.0900      0.4032   0.0000
   5.50    4.59728956     4.5950      1.9260      3.7377      3.0770      0.4032   0.0000
   5.50    4.65649605     4.6540      1.9640      3.7405      3.0560      0.4032   0.0000
   5.50    4.79767704     4.7960      2.0540      3.7484      3.0110      0.4032   0.0000
   5.50    4.90161467     4.9000      2.1160      3.7555      2.9860      0.4032   0.0000
   5.50    4.99806404     4.9970      2.1710      3.7634      2.9710      0.4032   0.0000
   5.50    5.03269148     5.0320      2.1910      3.7665      2.9670      0.4032   0.0000
   5.50    5.12537909     5.1250      2.2460      3.7770      2.9620      0.4032   0.0000
   5.50    5.19813824     5.1980      2.2910      3.7882      2.9680      0.4032   0.0000
   5.50    5.19845104     5.1980      2.2910      3.7882      2.9680      0.4032   0.0000
   5.50    5.23076105     5.2310      2.3110      3.7941      2.9740      0.4032   0.0000
   5.50    5.28032112     5.2800      2.3440      3.8044      2.9870      0.4032   0.0000
   5.50    5.32608557     5.3260      2.3750      3.8147      3.0010      0.4032   0.0000
   5.50    5.36992311     5.3700      2.4050      3.8252      3.0150      0.4032   0.0000
   5.50    5.39883852     5.3990      2.4260      3.8323      3.0250      0.4032   0.0000
   5.50    5.41181231     5.4120      2.4360      3.8355      3.0300      0.4032   0.0000
   5.50    5.45155048     5.4520      2.4660      3.8457      3.0440      0.4032   0.0000
   5.50    5.49017048     5.4910      2.4950      3.8560      3.0580      0.4032   0.0000
   5.50    5.52772331     5.5280      2.5250      3.8662      3.0720      0.4032   0.0000
   5.50    5.56426668     5.5650      2.5540      3.8765      3.0870      0.4032   0.0000
   5.50    5.59922600     5.6000      2.5830      3.8865      3.1010      0.4032   0.0000
   5.50    5.60627460     5.6070      2.5890      3.8886      3.1040      0.4032   0.0000
   5.50    5.64127302     5.6420      2.6190      3.8990      3.1190      0.4032   0.0000
   5.50    5.67549801     5.6760      2.6480      3.9095      3.1340      0.4032   0.0000
   5.50    5.70882416     5.7100      2.6780      3.9199      3.1490      0.4032   0.0000
   5.50    5.74125528     5.7420      2.7070      3.9303      3.1640      0.4032   0.0000
   5.50    5.77286482     5.7740      2.7350      3.9408      3.1790      0.4032   0.0000
   5.50    5.79961300     5.8000      2.7600      3.9498      3.1930      0.4032   0.0000
   5.50    5.80353737     5.8040      2.7640      3.9511      3.1950      0.4032   0.0000
   5.50    5.83246613     5.8330      2.7910      3.9612      3.2100      0.4032   0.0000
   5.50    5.86076832     5.8610      2.8170      3.9712      3.2250      0.4032   0.0000
   5.50    5.88847256     5.8890      2.8440      3.9812      3.2410      0.4032   0.0000
   5.50    5.91560841     5.9160      2.8690      3.9912      3.2580      0.4032   0.0000
   5.50    5.94221306     5.9430      2.8950      4.0013      3.2740      0.4032   0.0000
   5.50    5.96832037     5.9690      2.9200      4.0113      3.2910      0.4032   0.0000
   5.50    5.99396896     5.9940      2.9440      4.0213      3.3090      0.4032   0.0000
   5.50    6.00000000     6.0000      2.9500      4.0237      3.3130      0.4032   0.0000
   5.50    6.02905941     6.0290      2.9770      4.0352      3.3340      0.4032   0.0000
   5.50    6.06236124     6.0620      3.0080      4.0486      3.3590      0.4032   0.0000
   5.50    6.09516716     6.0950      3.0380      4.0621      3.3850      0.4032   0.0000
   5.50    6.12745237     6.1270      3.0670      4.0755      3.4120      0.4032   0.0000
   5.50    6.15927935     6.1590      3.0950      4.0888      3.4400      0.4032   0.0000
   5.50    6.19073296     6.1900      3.1220      4.1021      3.4680      0.4032   0.0000
   5.50    6.19999981     6.2000      3.1300      4.1061      3.4770      0.4032   0.0000
   5.50    6.21323061     6.2130      3.1410      4.1117      3.4890      0.4032   0.0000
   5.50    6.24556541     6.2450      3.1670      4.1255      3.5200      0.4032   0.0000
   5.50    6.27782536     6.2770      3.1920      4.1392      3.5520      0.4032   0.0000
   5.50    6.31009769     6.3090      3.2160      4.1530      3.5860      0.4032   0.0000
   5.50    6.34246826     6.3410      3.2390      4.1668      3.6200      0.4032   0.0000
   5.50    6.37504387     6.3740      3.2610      4.1805      3.6550      0.4032   0.0000
   5.50    6.39999962     6.3990      3.2770      4.1909      3.6830      0.4032   0.0000
   5.50    6.42584324     6.4250      3.2920      4.2015      3.7120      0.4032   0.0000
   5.50    6.45928526     6.4580      3.3100      4.2149      3.7490      0.4032   0.0000
   5.50    6.49362326     6.4920      3.3270      4.2282      3.7880      0.4032   0.0000
   5.50    6.52926636     6.5270      3.3420      4.2414      3.8290      0.4032   0.0000
   5.50    6.56722498     6.5650      3.3550      4.2546      3.8710      0.4032   0.0000
   5.50    6.57734871     6.5750      3.3580      4.2580      3.8820      0.4032   0.0000
   5.50    6.61085224     6.6090      3.3600      4.2669      3.9180      0.4032   0.0000
   5.50    6.67660952     6.6740      3.3440      4.2774      3.9800      0.4032   0.0000
   5.50    6.73298883     6.7300      3.3150      4.2805      4.0250      0.4032   0.0000
   5.50    6.77707720     6.7740      3.2860      4.2797      4.0540      0.4032   0.0000
   5.50    6.82021523     6.8170      3.2590      4.2777      4.0760      0.4032   0.0000
   5.50    6.86984301     6.8660      3.2400      4.2761      4.0920      0.4032   0.0000
   5.50    6.97942066     6.9750      3.2230      4.2758      4.1140      0.4032   0.0000
   5.50    7.00000000     6.9960      3.2280      4.2771      4.1160      0.4032   0.0000
   5.50    7.01826859     7.0140      3.2320      4.2783      4.1170      0.4032   0.0000
   5.50    7.17992592     7.1770      3.2870      4.2940      4.1350      0.4032   0.0000
   5.50    7.28192377     7.2790      3.3310      4.3081      4.1530      0.4032   0.0000
   5.50    7.35212326     7.3500      3.3660      4.3200      4.1700      0.4032   0.0000
   5.50    7.40806293     7.4060      3.3920      4.3301      4.1880      0.4032   0.0000
   5.50    7.48207426     7.4800      3.4180      4.3415      4.2120      0.4032   0.0000
   5.50    7.64994287     7.6490      3.4270      4.3527      4.2570      0.4032   0.0000
   5.50    7.78284931     7.7830      3.4260      4.3555      4.2770      0.4032   0.0000
   5.50    8.00000000     8.0010      3.4390      4.3586      4.2880      0.4032   0.0000
   5.50    8.01930046     8.0200      3.4410      4.3590      4.2890      0.4032   0.0000
   5.50    9.00000000     8.9950      3.6070      4.3859      4.2800      0.4032   0.0000
   5.50   10.00000000     9.9980      3.7550      4.4096      4.2730      0.4032   0.0000
   5.50   11.00000000    11.0010      3.8870      4.4304      4.2660      0.4032   0.0000
   5.50   12.00000000    12.0010      4.0050      4.4488      4.2590      0.4032   0.0000
   5.50   14.00000000    13.9910      4.2070      4.4794      4.2470      0.4087   0.0000
   5.50   16.00000000    15.9990      4.3760      4.5046      4.2360      0.4087   0.0000
   5.50   18.00000000    17.9830      4.5200      4.5253      4.2260      0.4087   0.0000
   5.50   19.45074463    19.4350      4.6120      4.5382      4.2190      0.4087   0.0000
   5.50   20.00000000    19.9860      4.6450      4.5428      4.2170      0.4087   0.0000
