0.08 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.1317 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.18339 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.23509 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.28679 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.33848 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.39018 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.44188 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.49357 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.54527 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.59697 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.64866 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.70036 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.75206 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.80375 8e-05	3.344e-07	1.297e-05	6.116e-06	0.06112	0.1702	2.713e-06	8.412e-06	8.398e-06	4.447e-05	1.856e-06	3.449e-06
0.85545 0.00010707746478873244	3.7913197183098594e-07	1.3067478873239436e-05	6.934822535211269e-06	0.06937862676056339	0.19289091549295778	3.0763795774647897e-06	9.53733943661972e-06	1.146425211267606e-05	5.042162676056339e-05	2.104571126760564e-06	3.910941549295775e-06
0.90714 0.0001349076923076923	4.4328069230769224e-07	1.3343853846153845e-05	8.10870846153846e-06	0.08122370769230768	0.22542438461538458	3.5972392307692303e-06	1.1152538461538459e-05	1.5679538461538456e-05	5.895182307692307e-05	2.460758461538461e-06	4.572904615384614e-06
0.95884 0.00014816410256410256	5.142687692307692e-07	1.3867482051282053e-05	9.407173846153847e-06	0.09433429743589744	0.26141553846153853	4.173230256410257e-06	1.2942153846153848e-05	2.005415384615385e-05	6.838375897435899e-05	2.8544738461538463e-06	5.3046584615384624e-06
